users,p50,p90,p99,fails,failpct,rps,estado
25,14,46,810,0,0.0,80.14768549177987,Aviso
50,57,160,700,0,0.0,127.72815426014655,Aviso
75,130,420,630,0,0.0,128.5243466204575,Aviso
100,170,530,980,0,0.0,146.5373573335757,Aviso
