Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20,0,24,26.40502925000043,15.977957999997017,44.7571249999994,10475.65,0.16749235631412887,0.0,24,28,34,35,43,45,45,45,45,45,45
GET,/cart,101,0,15,16.86754125742566,9.029707999999914,32.87491700000089,13604.366336633664,0.8458363993863507,0.0,15,18,21,21,24,27,28,29,33,33,33
POST,/cart [add],134,0,22,29.025774574627736,13.79666600000462,388.9625000000052,17919.194029850747,1.1221987873046633,0.0,22,26,30,32,38,44,96,180,390,390,390
POST,/cart/checkout,45,0,21,28.290299999999053,13.690666999991663,143.67995799999278,6784.133333333333,0.37685780170678995,0.0,21,24,26,28,53,75,140,140,140,140,140
GET,/product/[id],421,0,17,18.881464097386818,9.336334000000335,111.58875000000279,7953.37054631829,3.5257141004124124,0.0,17,19,22,23,27,31,43,54,110,110,110
POST,/setCurrency,64,0,27,33.74399864062441,16.45445799999834,348.3117499999935,10490.578125,0.5359755402052123,0.0,27,32,35,36,41,42,52,350,350,350,350
,Aggregated,785,0,19,22.29675394012725,9.029707999999914,388.9625000000052,10585.704458598726,6.574074985329558,0.0,19,22,24,26,32,40,53,96,390,390,390
