Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,373,0,39,67.24064982841881,10.762832999999361,815.975458999997,10557.286863270778,3.1231647215881737,0.0,39,64,77,84,110,220,390,700,820,820,820
GET,/cart,1766,0,120.0,130.32186135050972,6.853374999998607,1081.4204169999898,14102.219139297848,14.78688712687591,0.0,120,170,190,210,240,280,490,670,1100,1100,1100
POST,/cart [add],2404,0,110.0,131.45387952495844,10.005457999998413,1287.5868340000097,18191.91306156406,20.128922227072305,0.0,110,170,200,210,240,270,500,830,1200,1300,1300
POST,/cart/checkout,896,0,99,125.2847034252234,12.268582999999111,1197.573375000001,6805.938616071428,7.502293808426283,0.0,99,190,200,200,230,290,300,390,1200,1200,1200
GET,/product/[id],6811,0,120.0,128.3226038346794,6.946833000000652,1261.3167080000096,7983.562912934958,57.02915527811542,0.0,120,160,190,200,240,270,600,760,1100,1300,1300
POST,/setCurrency,1323,0,38,68.02963375888135,11.926917000010917,982.2015829999913,10559.544217687075,11.077605701504433,0.0,38,59,78,87,110,190,460,670,900,980,980
,Aggregated,13573,0,95,121.38126061732835,6.853374999998607,1287.5868340000097,10831.81249539527,113.64802886358252,0.0,95,160,180,200,230,280,520,740,1100,1300,1300
