users,p50,p90,p99,fails,failpct,rps,estado
25,9,18,610,0,0.0,86.36809868577319,Aviso
50,91,190,890,0,0.0,114.66085072849941,Aviso
75,120,250,1600,4051,23.4,144.8375488466506,QUEBRA
