users,p50,p90,p99,fails,failpct,rps,estado
25,20,110,720,0,0.0,74.9717163838963,Aviso
50,140,370,560,0,0.0,99.40942205507194,Aviso
75,210,700,1100,13,0.1,103.08422106924243,Aviso
100,240,710,1000,0,0.0,124.21128645605259,Aviso
125,310,970,1300,76,0.5,123.37295360913524,Aviso
150,350,1200,1500,0,0.0,130.52609786354526,Aviso
