timestamp,snapshot,pod,cpu_m,ram_mi
18:07:19,2,recommendationservice-7444754ff5-w769g,3,51
18:07:19,2,redis-cart-c8ff86559-gpcc7,3,36
18:07:19,2,shippingservice-f956b6d9f-g5j6b,2,14
18:07:19,2,shippingservice-f956b6d9f-m2h7g,3,15
18:07:19,2,shippingservice-f956b6d9f-ml5cg,1,31
18:07:29,3,adservice-574bff445c-2zzqg,6,144
18:07:29,3,adservice-574bff445c-4w7zh,24,165
18:07:29,3,adservice-574bff445c-k5l76,6,275
18:07:29,3,cartservice-db96d6fcc-6kndn,132,115
18:07:29,3,cartservice-db96d6fcc-tsdhc,8,145
18:07:29,3,cartservice-db96d6fcc-x6v6f,15,86
18:07:29,3,checkoutservice-5b6d96c9b7-fwtng,2,37
18:07:29,3,checkoutservice-5b6d96c9b7-lwnbx,1,12
18:07:29,3,checkoutservice-5b6d96c9b7-tvvwl,1,12
18:07:29,3,currencyservice-7c8fc8fc9c-6tsnv,39,94
18:07:29,3,currencyservice-7c8fc8fc9c-rtbz4,4,124
18:07:29,3,currencyservice-7c8fc8fc9c-s92sq,4,72
18:07:29,3,emailservice-66944ff59-62x8j,3,56
18:07:29,3,emailservice-66944ff59-xh284,3,56
18:07:29,3,emailservice-66944ff59-zvg4w,4,56
18:07:29,3,frontend-7bd6f45654-dnhzb,4,43
18:07:29,3,frontend-7bd6f45654-jwp2b,17,20
18:07:29,3,frontend-7bd6f45654-xmsf8,21,20
18:07:29,3,paymentservice-9bfb7bf5-9mdwz,2,126
18:07:29,3,paymentservice-9bfb7bf5-w2dt7,5,66
18:07:29,3,paymentservice-9bfb7bf5-x4kz9,3,63
18:07:29,3,productcatalogservice-65bbf699df-2hv25,3,19
18:07:29,3,productcatalogservice-65bbf699df-8ztwv,6,19
18:07:29,3,productcatalogservice-65bbf699df-d9cxl,5,42
18:07:29,3,recommendationservice-7444754ff5-kk4vc,10,80
18:07:29,3,recommendationservice-7444754ff5-w69fs,19,54
18:07:29,3,recommendationservice-7444754ff5-w769g,3,51
18:07:29,3,redis-cart-c8ff86559-gpcc7,3,36
18:07:29,3,shippingservice-f956b6d9f-g5j6b,2,14
18:07:29,3,shippingservice-f956b6d9f-m2h7g,3,15
18:07:29,3,shippingservice-f956b6d9f-ml5cg,1,31
18:07:39,4,adservice-574bff445c-2zzqg,5,144
18:07:39,4,adservice-574bff445c-4w7zh,19,168
18:07:39,4,adservice-574bff445c-k5l76,4,275
18:07:39,4,cartservice-db96d6fcc-6kndn,106,124
18:07:39,4,cartservice-db96d6fcc-tsdhc,8,145
18:07:39,4,cartservice-db96d6fcc-x6v6f,21,88
18:07:39,4,checkoutservice-5b6d96c9b7-fwtng,2,37
18:07:39,4,checkoutservice-5b6d96c9b7-lwnbx,1,14
18:07:39,4,checkoutservice-5b6d96c9b7-tvvwl,1,14
18:07:39,4,currencyservice-7c8fc8fc9c-6tsnv,24,94
18:07:39,4,currencyservice-7c8fc8fc9c-rtbz4,6,124
18:07:39,4,currencyservice-7c8fc8fc9c-s92sq,3,72
18:07:39,4,emailservice-66944ff59-62x8j,3,56
18:07:39,4,emailservice-66944ff59-xh284,3,56
18:07:39,4,emailservice-66944ff59-zvg4w,4,56
18:07:39,4,frontend-7bd6f45654-dnhzb,4,43
18:07:39,4,frontend-7bd6f45654-jwp2b,9,20
18:07:39,4,frontend-7bd6f45654-xmsf8,14,21
18:07:39,4,paymentservice-9bfb7bf5-9mdwz,2,126
18:07:39,4,paymentservice-9bfb7bf5-w2dt7,3,66
18:07:39,4,paymentservice-9bfb7bf5-x4kz9,4,63
18:07:39,4,productcatalogservice-65bbf699df-2hv25,3,19
18:07:39,4,productcatalogservice-65bbf699df-8ztwv,6,19
18:07:39,4,productcatalogservice-65bbf699df-d9cxl,5,42
18:07:39,4,recommendationservice-7444754ff5-kk4vc,10,80
18:07:39,4,recommendationservice-7444754ff5-w69fs,12,54
18:07:39,4,recommendationservice-7444754ff5-w769g,3,51
18:07:39,4,redis-cart-c8ff86559-gpcc7,3,36
18:07:39,4,shippingservice-f956b6d9f-g5j6b,2,15
18:07:39,4,shippingservice-f956b6d9f-m2h7g,2,15
18:07:39,4,shippingservice-f956b6d9f-ml5cg,3,31
18:07:50,5,adservice-574bff445c-2zzqg,7,144
18:07:50,5,adservice-574bff445c-4w7zh,27,173
18:07:50,5,adservice-574bff445c-k5l76,5,275
18:07:50,5,cartservice-db96d6fcc-6kndn,12,124
18:07:50,5,cartservice-db96d6fcc-tsdhc,10,145
18:07:50,5,cartservice-db96d6fcc-x6v6f,8,90
18:07:50,5,checkoutservice-5b6d96c9b7-fwtng,2,37
18:07:50,5,checkoutservice-5b6d96c9b7-lwnbx,1,14
18:07:50,5,checkoutservice-5b6d96c9b7-tvvwl,2,15
18:07:50,5,currencyservice-7c8fc8fc9c-6tsnv,16,95
18:07:50,5,currencyservice-7c8fc8fc9c-rtbz4,11,124
18:07:50,5,currencyservice-7c8fc8fc9c-s92sq,2,73
18:07:50,5,emailservice-66944ff59-62x8j,3,56
18:07:50,5,emailservice-66944ff59-xh284,3,56
18:07:50,5,emailservice-66944ff59-zvg4w,4,56
18:07:50,5,frontend-7bd6f45654-dnhzb,11,43
18:07:50,5,frontend-7bd6f45654-jwp2b,10,20
18:07:50,5,frontend-7bd6f45654-xmsf8,5,21
18:07:50,5,paymentservice-9bfb7bf5-9mdwz,2,126
18:07:50,5,paymentservice-9bfb7bf5-w2dt7,2,66
18:07:50,5,paymentservice-9bfb7bf5-x4kz9,1,63
18:07:50,5,productcatalogservice-65bbf699df-2hv25,1,19
18:07:50,5,productcatalogservice-65bbf699df-8ztwv,2,19
18:07:50,5,productcatalogservice-65bbf699df-d9cxl,9,42
18:07:50,5,recommendationservice-7444754ff5-kk4vc,15,80
18:07:50,5,recommendationservice-7444754ff5-w69fs,6,54
18:07:50,5,recommendationservice-7444754ff5-w769g,3,51
18:07:50,5,redis-cart-c8ff86559-gpcc7,3,36
18:07:50,5,shippingservice-f956b6d9f-g5j6b,1,15
18:07:50,5,shippingservice-f956b6d9f-m2h7g,1,15
18:07:50,5,shippingservice-f956b6d9f-ml5cg,2,31
18:08:00,6,adservice-574bff445c-2zzqg,7,144
18:08:00,6,adservice-574bff445c-4w7zh,27,173
18:08:00,6,adservice-574bff445c-k5l76,5,275
18:08:00,6,cartservice-db96d6fcc-6kndn,12,124
18:08:00,6,cartservice-db96d6fcc-tsdhc,10,145
18:08:00,6,cartservice-db96d6fcc-x6v6f,8,90
18:08:00,6,checkoutservice-5b6d96c9b7-fwtng,2,37
18:08:00,6,checkoutservice-5b6d96c9b7-lwnbx,1,14
18:08:00,6,checkoutservice-5b6d96c9b7-tvvwl,2,15
18:08:00,6,currencyservice-7c8fc8fc9c-6tsnv,16,95
18:08:00,6,currencyservice-7c8fc8fc9c-rtbz4,11,124
18:08:00,6,currencyservice-7c8fc8fc9c-s92sq,2,73
18:08:00,6,emailservice-66944ff59-62x8j,3,56
18:08:00,6,emailservice-66944ff59-xh284,3,56
18:08:00,6,emailservice-66944ff59-zvg4w,4,56
18:08:00,6,frontend-7bd6f45654-dnhzb,11,43
18:08:00,6,frontend-7bd6f45654-jwp2b,10,20
18:08:00,6,frontend-7bd6f45654-xmsf8,5,21
18:08:00,6,paymentservice-9bfb7bf5-9mdwz,2,126
18:08:00,6,paymentservice-9bfb7bf5-w2dt7,2,66
18:08:00,6,paymentservice-9bfb7bf5-x4kz9,1,63
18:08:00,6,productcatalogservice-65bbf699df-2hv25,1,19
18:08:00,6,productcatalogservice-65bbf699df-8ztwv,2,19
18:08:00,6,productcatalogservice-65bbf699df-d9cxl,9,42
18:08:00,6,recommendationservice-7444754ff5-kk4vc,15,80
18:08:00,6,recommendationservice-7444754ff5-w69fs,6,54
18:08:00,6,recommendationservice-7444754ff5-w769g,3,51
18:08:00,6,redis-cart-c8ff86559-gpcc7,3,36
18:08:00,6,shippingservice-f956b6d9f-g5j6b,1,15
18:08:00,6,shippingservice-f956b6d9f-m2h7g,1,15
18:08:00,6,shippingservice-f956b6d9f-ml5cg,2,31
18:08:10,7,adservice-574bff445c-2zzqg,4,144
18:08:10,7,adservice-574bff445c-4w7zh,19,177
18:08:10,7,adservice-574bff445c-k5l76,4,275
18:08:10,7,cartservice-db96d6fcc-6kndn,9,125
18:08:10,7,cartservice-db96d6fcc-tsdhc,12,145
18:08:10,7,cartservice-db96d6fcc-x6v6f,17,94
18:08:10,7,checkoutservice-5b6d96c9b7-fwtng,3,37
18:08:10,7,checkoutservice-5b6d96c9b7-lwnbx,2,15
18:08:10,7,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:08:10,7,currencyservice-7c8fc8fc9c-6tsnv,29,98
18:08:10,7,currencyservice-7c8fc8fc9c-rtbz4,12,124
18:08:10,7,currencyservice-7c8fc8fc9c-s92sq,2,72
18:08:10,7,emailservice-66944ff59-62x8j,3,56
18:08:10,7,emailservice-66944ff59-xh284,3,56
18:08:10,7,emailservice-66944ff59-zvg4w,4,56
18:08:10,7,frontend-7bd6f45654-dnhzb,12,43
18:08:10,7,frontend-7bd6f45654-jwp2b,12,20
18:08:10,7,frontend-7bd6f45654-xmsf8,5,21
18:08:10,7,paymentservice-9bfb7bf5-9mdwz,2,126
