Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,488,0,12,76.46104645081935,7.609374999994145,1334.1100000000026,10548.522540983606,4.084298997310176,0.0,12,14,18,26,230,540,800,990,1300,1300,1300
GET,/cart,1818,0,740.0,694.6256889433438,5.040665999999305,1521.8128329999986,13823.492299229923,15.21568765801209,0.0,740,980,1100,1200,1200,1300,1400,1400,1500,1500,1500
POST,/cart [add],2273,0,790.0,727.3357909049707,7.005874999999051,1906.587375000001,18070.263528376596,19.023794305094324,0.0,790,1000,1100,1200,1300,1400,1600,1700,1900,1900,1900
POST,/cart/checkout,794,0,800.0,741.5536419596979,7.922499999999388,2037.254125000004,6805.88161209068,6.645355335787459,0.0,800,1100,1200,1200,1300,1400,1600,1700,2000,2000,2000
GET,/product/[id],7595,0,810.0,740.5178448896651,4.336957999999669,2051.702208000009,7980.916392363397,63.56608787821883,0.0,810,1000,1100,1200,1300,1300,1400,1400,1800,2100,2100
POST,/setCurrency,1513,0,14,79.34992964044972,8.000499999994304,1336.1500000000035,10555.066754791804,12.663000784693232,0.0,14,17,20,23,260,600,760,930,1300,1300,1300
,Aggregated,14481,0,690.0,641.2858098952406,4.336957999999669,2051.702208000009,10589.133554312548,121.1982249591161,0.0,690,950,1100,1200,1300,1300,1400,1500,1800,2000,2100
