users,p50,p90,p99,fails,failpct,rps,estado
25,9,25,620,0,0.0,85.63763802667953,Aviso
50,88,180,720,0,0.0,117.71038148470733,Aviso
75,100,230,920,7700,40.7,158.19243806623948,QUEBRA
