users,p50,p90,p99,fails,failpct,rps,estado
25,47,130,660,0,0.0,71.81978156861992,Aviso
50,160,280,1500,0,0.0,88.08886549574704,Aviso
75,330,520,1800,2822,23.5,100.43337803320469,QUEBRA
