users,p50,p90,p99,failpct,rps,estado
100,410,563,947,0.0,123.8,Aviso
200,433,1200,1433,0.0,142.4,Aviso
300,373,1200,1667,0.0,147.0,Aviso
400,357,1167,1533,0.0,149.6,Aviso
