users,p50,p90,p99,fails,failpct,rps,estado
25,13,29,87,0,0.0,87.14853180418422,OK
50,95,230,740,0,0.0,113.64802886358252,Aviso
75,150,360,500,0,0.0,137.39795911036578,Aviso
100,160,620,920,0,0.0,138.51560806054803,Aviso
