Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,393,0,76,99.71649246310432,7.446708999999885,1068.0896669999952,10556.826972010178,3.295856595135403,0.0,76,100,130,150,190,250,550,760,1100,1100,1100
GET,/cart,1800,0,74,88.40380870722217,4.543959000002928,1012.9794169999968,14117.132777777777,15.095526389933141,0.0,74,94,110,120,160,190,290,720,940,1000,1000
POST,/cart [add],2436,0,120.0,130.15551438259442,6.428209000000074,1314.4282920000023,18170.785303776684,20.429279047709517,0.0,120,150,160,170,190,250,300,820,1200,1300,1300
POST,/cart/checkout,904,0,97,106.72238593141584,8.19129199999935,1318.3899580000045,6805.799778761062,7.581308809166423,0.0,97,100,110,110,190,200,290,380,1300,1300,1300
GET,/product/[id],7057,0,93,107.1596554075383,4.3446659999997195,1196.2134169999956,7982.800340087856,59.18284985208788,0.0,93,110,140,150,170,200,410,770,1100,1200,1200
POST,/setCurrency,1331,0,85,105.00211834109678,7.293000000004213,1045.1005839999966,10559.064613072878,11.162303125000562,0.0,85,110,140,150,180,240,380,720,1000,1000,1000
,Aggregated,13921,0,94,108.31368542863322,4.3446659999997195,1318.3899580000045,10801.299116442784,116.74712381903294,0.0,94,120,140,150,180,210,340,740,1200,1300,1300
