users,p50,p90,p99,fails,failpct,rps,estado
100,400,570,970,0,0.0,122.50502347584133,Aviso
200,290,1100,1400,0,0.0,152.30432846838,Aviso
300,350,1200,1600,0,0.0,149.6797439022482,Aviso
400,350,1200,1500,0,0.0,150.86054744009678,Aviso
