users,p50,p90,p99,fails,failpct,rps,estado
25,13,39,730,0,0.0,82.12603259802636,Aviso
50,140,270,830,0,0.0,105.98724529599532,Aviso
75,110,390,710,0,0.0,134.8959524780523,Aviso
100,200,490,900,174,1.0,146.2055276429604,Aviso
