Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,474,0,12,71.53695464135026,7.364499999994223,1013.7453329999958,10550.62658227848,3.969062278027942,0.0,12,14,18,24,200,610,780,940,1000,1000,1000
GET,/cart,1844,0,420.0,372.8058868421915,5.022374999999357,1038.9395839999977,13603.638286334057,15.44082455840406,0.0,420,460,490,500,560,610,710,780,1000,1000,1000
POST,/cart [add],2325,0,430.0,404.8026458653757,6.163457999999622,1697.3069590000023,18088.60258064516,19.468501680200347,0.0,430,480,510,530,620,790,1000,1100,1500,1700,1700
POST,/cart/checkout,875,0,410.0,387.76176717142846,7.0688749999998635,1694.2485000000006,6806.04,7.3268554710431415,0.0,410,490,500,500,590,600,800,980,1700,1700,1700
GET,/product/[id],7572,0,430.0,388.8436944049125,4.462084000000033,1524.9051250000036,7981.706946645536,63.40451385912991,0.0,430,470,490,510,570,650,820,940,1300,1500,1500
POST,/setCurrency,1540,0,14,56.1233391753248,8.246833000001175,943.130583999995,10553.618181818181,12.89526562903593,0.0,14,16,18,21,72,410,660,770,920,940,940
,Aggregated,14630,0,400.0,343.99006603643267,4.462084000000033,1697.3069590000023,10580.14005468216,122.50502347584133,0.0,400,460,490,500,570,650,830,970,1300,1700,1700
