users,p50,p90,p99,fails,failpct,rps,estado
100,89,270,850,0,0.0,194.31292645248075,Aviso
200,130,780,1100,0,0.0,207.68279235020967,Aviso
300,230,650,1400,312,1.3,196.43601525160707,Aviso
400,250,670,1100,0,0.0,195.33594887978734,Aviso
