users,p50,p90,p99,fails,failpct,rps,estado
100,400,500,670,0,0.0,129.82756945629845,Aviso
200,320,1200,1400,0,0.0,153.62125808642475,Aviso
300,370,1100,1600,26,0.1,148.58468250876024,Aviso
400,320,1100,1400,0,0.0,156.386645139535,Aviso
