NAME                                     CPU(cores)   MEMORY(bytes)   
currencyservice-7c8fc8fc9c-4hm9g         15m          122Mi           
frontend-7bd6f45654-s2s7z                14m          52Mi            
recommendationservice-7444754ff5-n8cbh   11m          81Mi            
cartservice-7c84fdfb6-m5m6d              7m           177Mi           
productcatalogservice-65bbf699df-j2fmg   6m           43Mi            
emailservice-66944ff59-2lcjl             4m           94Mi            
adservice-574bff445c-6mj7s               4m           288Mi           
redis-cart-c8ff86559-kcf44               3m           36Mi            
paymentservice-9bfb7bf5-kgd56            1m           107Mi           
productcatalogservice-65bbf699df-qntf5   1m           19Mi            
productcatalogservice-65bbf699df-7w28t   1m           20Mi            
checkoutservice-5b6d96c9b7-45rkr         1m           38Mi            
shippingservice-f956b6d9f-w7n4b          1m           32Mi            
