users,p50,p90,p99,fails,failpct,rps,estado
100,430,620,1200,0,0.0,119.12429918777377,Aviso
200,690,1300,1500,0,0.0,121.1982249591161,Aviso
300,400,1300,1800,0,0.0,142.6948847382529,Aviso
400,400,1200,1700,0,0.0,141.493728948172,Aviso
