Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,275,0,11,27.07202517454552,7.437417000002,673.0288330000036,10556.4,2.303780792619197,0.0,11,13,17,29,66,110,140,280,670,670,670
GET,/cart,1343,0,8,19.128301837676936,3.7599999999997635,787.0737080000013,13985.681310498883,11.250827652682114,0.0,8,9,10,12,35,75,150,180,640,790,790
POST,/cart [add],1881,0,10,21.25578004093561,5.789250000006518,902.5437499999996,18103.4322169059,15.757860621515308,0.0,10,12,13,16,42,78,130,170,790,900,900
POST,/cart/checkout,706,0,10,17.913259790368322,6.8730000000023495,291.6650420000053,6805.975920679886,5.914433598506011,0.0,10,12,13,15,35,75,93,99,290,290,290
GET,/product/[id],5172,0,7,17.70303678673623,3.845832999999743,983.177708999996,7983.743426140758,43.32783367064177,0.0,7,8,10,11,30,56,94,140,880,980,980
POST,/setCurrency,1033,0,13,27.390576514036834,7.7255830000027,723.2881250000034,10560.425943852855,8.653838395547748,0.0,13,14,16,20,50,86,190,230,680,720,720
,Aggregated,10410,0,9,19.75192812295864,3.7599999999997635,983.177708999996,10830.374255523535,87.20857473151214,0.0,9,11,12,14,35,69,120,170,790,970,980
