Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,566,212,47,107.85416148056518,0.7530829999993216,2814.5733750000018,8514.111307420495,4.737152528728191,1.7743398164140929,47,94,130,150,220,330,670,1200,2800,2800,2800
GET,/cart,2522,1075,96,121.08455310626464,0.7032500000008213,3944.509541999999,10635.842981760508,21.107948193378974,8.997241993609197,96,150,170,180,210,250,370,910,3800,3900,3900
POST,/cart [add],3366,1502,120.0,148.56597358169935,2.197708000000631,3993.222082999999,12553.431075460487,28.171829349291684,12.57103020874513,120,180,200,220,270,330,630,1100,3900,4000,4000
POST,/cart/checkout,710,0,190.0,195.59523180422482,10.657042000000061,2504.1062499999994,6804.9450704225355,5.9423644795000286,0.0,190,200,200,200,260,290,430,1300,2500,2500,2500
GET,/product/[id],9809,4102,110.0,109.4640740409832,0.8629159999991032,1635.427457999995,6779.705882352941,82.09669461889546,34.33180154212551,110,150,170,180,220,260,310,740,1600,1600,1600
POST,/setCurrency,1928,809,44,101.5692551727181,1.5353339999997218,2790.927791999998,8268.09336099585,16.136448896445145,6.770947695655666,44,92,120,140,220,290,470,890,2700,2800,2800
,Aggregated,18901,7700,100.0,120.36003419025452,0.7032500000008213,3993.222082999999,8527.165864239987,158.19243806623948,64.4453612565496,100,150,180,190,230,280,400,920,2800,4000,4000
