Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,575,0,17,166.212847095652,8.314959000003341,2123.9222499999923,10550.041739130435,4.814990480274539,0.0,17,47,180,300,600,780,1200,1400,2100,2100,2100
GET,/cart,2091,0,450.0,561.3715817771396,3.6738339999971004,1882.6068340000006,13218.896221903395,17.509817555224455,0.0,450,760,930,1000,1200,1400,1600,1700,1900,1900,1900
POST,/cart [add],2692,0,500.0,595.5340563948737,6.94287500000712,2143.6590840000063,17505.585066864784,22.542529344172276,0.0,500,820,990,1100,1300,1400,1600,1700,1900,2100,2100
POST,/cart/checkout,982,0,390.0,539.9414634358457,6.849790999993388,1904.7535000000125,6353.70366598778,8.22316635066017,0.0,400,800,910,1100,1200,1400,1600,1700,1900,1900,1900
GET,/product/[id],8769,0,520.0,597.203567091116,3.070000000008122,1901.6298330000013,7582.960884935568,73.43069829830858,0.0,520,830,990,1100,1300,1400,1600,1600,1900,1900,1900
POST,/setCurrency,1788,0,20,166.38040151174494,9.356708999995078,2317.5230000000083,10554.064876957495,14.972526919531958,0.0,20,54,190,300,570,770,1100,1400,2300,2300,2300
,Aggregated,16897,0,400.0,528.9203290057392,3.070000000008122,2317.5230000000083,10205.184944072913,141.493728948172,0.0,400,720,900,1000,1200,1400,1600,1700,1900,2300,2300
