NAME                                     READY   STATUS    RESTARTS       AGE
adservice-574bff445c-k5l76               1/1     Running   0              112m
cartservice-db96d6fcc-tsdhc              1/1     Running   0              110m
checkoutservice-5b6d96c9b7-fwtng         1/1     Running   0              112m
currencyservice-7c8fc8fc9c-rtbz4         1/1     Running   0              112m
emailservice-66944ff59-zvg4w             1/1     Running   1 (111m ago)   112m
frontend-7bd6f45654-dnhzb                1/1     Running   0              112m
paymentservice-9bfb7bf5-9mdwz            1/1     Running   0              111m
productcatalogservice-65bbf699df-2hv25   1/1     Running   0              3m38s
productcatalogservice-65bbf699df-8ztwv   1/1     Running   0              3m38s
productcatalogservice-65bbf699df-d9cxl   1/1     Running   0              111m
recommendationservice-7444754ff5-kk4vc   1/1     Running   0              111m
redis-cart-c8ff86559-gpcc7               1/1     Running   0              131m
shippingservice-f956b6d9f-ml5cg          1/1     Running   0              111m
