Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,712,0,35,73.22018655617975,7.419291000005046,922.7387500000077,10554.900280898877,5.964167936981777,0.0,35,67,84,96,140,230,560,800,920,920,920
GET,/cart,2938,0,100.0,134.1113746831181,4.27754199999697,1147.5392079999979,13952.454731109598,24.610569380410762,0.0,100,170,200,220,270,320,560,780,1100,1100,1100
POST,/cart [add],4067,0,120.0,148.56273585222496,7.029333000000193,1330.7497499999954,18169.357265797884,34.06779634790013,0.0,120,180,220,230,280,330,490,940,1300,1300,1300
POST,/cart/checkout,1515,0,120.0,148.36637514521442,7.9960000000021125,1387.797375000005,6805.389438943895,12.690610146808137,0.0,120,190,200,210,290,300,400,480,1400,1400,1400
GET,/product/[id],11622,0,93,131.11999900154908,4.095875000004412,1269.0012919999986,7984.269833075202,97.35331427472222,0.0,93,160,200,220,270,310,640,870,1200,1300,1300
POST,/setCurrency,2343,0,34,73.55224156508761,8.520374999989144,1066.8690839999967,10556.431498079386,19.626468365657733,0.0,34,63,82,93,150,230,580,830,1000,1100,1100
,Aggregated,23197,0,89,128.09161646273233,4.095875000004412,1387.797375000005,10787.56929775402,194.31292645248075,0.0,89,160,190,210,270,310,560,850,1200,1400,1400
