NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-574bff445c-tbr78               9m           188Mi           
adservice-574bff445c-jc7m4               8m           179Mi           
recommendationservice-7444754ff5-sg55v   5m           57Mi            
emailservice-66944ff59-xhss4             5m           56Mi            
emailservice-66944ff59-xd6ch             5m           57Mi            
emailservice-66944ff59-8jhrl             4m           56Mi            
recommendationservice-7444754ff5-fthxq   4m           51Mi            
recommendationservice-7444754ff5-9t2qj   4m           55Mi            
redis-cart-c8ff86559-lhjtw               3m           37Mi            
cartservice-765b6959c9-qnq65             3m           111Mi           
currencyservice-7c8fc8fc9c-fknl8         3m           85Mi            
cartservice-765b6959c9-n6fwn             3m           114Mi           
currencyservice-7c8fc8fc9c-9dtdc         2m           111Mi           
paymentservice-9bfb7bf5-gfxs2            2m           126Mi           
cartservice-765b6959c9-bcmfz             2m           164Mi           
productcatalogservice-65bbf699df-vsc98   2m           44Mi            
paymentservice-9bfb7bf5-t6d8q            2m           80Mi            
paymentservice-9bfb7bf5-s8hj7            2m           77Mi            
checkoutservice-5b6d96c9b7-9bqv8         1m           38Mi            
frontend-7bd6f45654-zl99v                1m           28Mi            
frontend-7bd6f45654-kpk99                1m           29Mi            
productcatalogservice-65bbf699df-cv7w7   1m           20Mi            
productcatalogservice-65bbf699df-jvkg4   1m           22Mi            
frontend-7bd6f45654-8lrp5                1m           53Mi            
currencyservice-7c8fc8fc9c-vt2gd         1m           124Mi           
checkoutservice-5b6d96c9b7-j6swl         1m           16Mi            
adservice-574bff445c-dq4dw               1m           281Mi           
checkoutservice-5b6d96c9b7-6fth9         1m           22Mi            
shippingservice-f956b6d9f-cdqmk          1m           17Mi            
shippingservice-f956b6d9f-scpqb          1m           16Mi            
shippingservice-f956b6d9f-z5rrl          1m           34Mi            
