users,p50,p90,p99,fails,failpct,rps,estado
100,210,420,980,0,0.0,149.1174999166638,Aviso
200,370,730,1200,0,0.0,167.04395654657523,Aviso
300,340,720,1100,0,0.0,176.20391618201694,Aviso
400,330,710,1200,0,0.0,176.7824718766428,Aviso
