adservice-574bff445c-6mj7s               55m    285Mi   
cartservice-7c84fdfb6-m5m6d              78m    168Mi   
checkoutservice-5b6d96c9b7-45rkr         27m    37Mi    
currencyservice-7c8fc8fc9c-4hm9g         160m   123Mi   
emailservice-66944ff59-2lcjl             12m    94Mi    
frontend-7bd6f45654-s2s7z                191m   49Mi    
paymentservice-9bfb7bf5-kgd56            10m    123Mi   
productcatalogservice-65bbf699df-j2fmg   94m    43Mi    
recommendationservice-7444754ff5-n8cbh   184m   81Mi    
redis-cart-c8ff86559-kcf44               7m     36Mi    
shippingservice-f956b6d9f-w7n4b          18m    30Mi    
