users,p50,p90,p99,fails,failpct,rps,estado
25,11,76,630,0,0.0,80.9717082534339,Aviso
50,94,180,740,0,0.0,116.74712381903294,Aviso
75,150,350,1100,3562,22.2,134.69616421215332,QUEBRA
