adservice-574bff445c-6mj7s               33m    286Mi   
cartservice-7c84fdfb6-m5m6d              80m    171Mi   
checkoutservice-5b6d96c9b7-45rkr         12m    38Mi    
currencyservice-7c8fc8fc9c-4hm9g         124m   105Mi   
emailservice-66944ff59-2lcjl             8m     94Mi    
frontend-7bd6f45654-s2s7z                161m   51Mi    
paymentservice-9bfb7bf5-kgd56            6m     126Mi   
productcatalogservice-65bbf699df-j2fmg   73m    43Mi    
recommendationservice-7444754ff5-n8cbh   119m   81Mi    
redis-cart-c8ff86559-kcf44               6m     36Mi    
shippingservice-f956b6d9f-w7n4b          13m    31Mi    
