Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18,0,25,39.211085666665944,15.271708000000217,121.0387079999995,10464.777777777777,0.15131272614544342,0.0,25,27,39,49,120,120,120,120,120,120,120
GET,/cart,84,0,18,22.760245083334297,9.348709000001065,279.6449169999988,13738.25,0.7061260553454026,0.0,18,22,24,25,29,31,91,280,280,280,280
POST,/cart [add],104,0,23,35.925183134615935,13.013333000003513,511.9633329999971,18111.23076923077,0.8742513066181176,0.0,24,29,32,36,50,90,130,200,510,510,510
POST,/cart/checkout,35,0,21,27.20519411428555,14.989041999999841,130.08283399999954,6764.742857142857,0.2942191897272511,0.0,21,23,26,29,33,97,130,130,130,130,130
GET,/product/[id],270,0,19,26.34055012222238,10.049041000002035,330.8419580000006,7952.907407407408,2.2696908921816514,0.0,19,22,25,27,34,53,150,200,330,330,330
POST,/setCurrency,58,0,26,30.94695760344839,17.251874999999472,129.42458300000226,10482.068965517241,0.48756322869087326,0.0,26,31,34,36,50,52,78,130,130,130,130
,Aggregated,569,0,21,28.493731182777115,9.348709000001065,511.9633329999971,10927.869947275924,4.783163398708739,0.0,21,24,27,30,38,78,130,200,510,510,510
