timestamp,snapshot,pod,cpu_m,ram_mi
16:58:06,7,shippingservice-f956b6d9f-ml5cg,2,30
16:58:16,8,adservice-574bff445c-k5l76,13,289
16:58:16,8,cartservice-db96d6fcc-tsdhc,11,139
16:58:16,8,checkoutservice-5b6d96c9b7-fwtng,2,36
16:58:16,8,currencyservice-7c8fc8fc9c-rtbz4,22,111
16:58:16,8,emailservice-66944ff59-zvg4w,4,56
16:58:16,8,frontend-7bd6f45654-dnhzb,25,42
16:58:16,8,paymentservice-9bfb7bf5-9mdwz,2,122
16:58:16,8,productcatalogservice-65bbf699df-d9cxl,11,42
16:58:16,8,recommendationservice-7444754ff5-kk4vc,18,80
16:58:16,8,redis-cart-c8ff86559-gpcc7,3,36
16:58:16,8,shippingservice-f956b6d9f-ml5cg,2,30
16:58:26,9,adservice-574bff445c-k5l76,13,289
16:58:26,9,cartservice-db96d6fcc-tsdhc,11,139
16:58:26,9,checkoutservice-5b6d96c9b7-fwtng,2,36
16:58:26,9,currencyservice-7c8fc8fc9c-rtbz4,22,111
16:58:26,9,emailservice-66944ff59-zvg4w,4,56
16:58:26,9,frontend-7bd6f45654-dnhzb,25,42
16:58:26,9,paymentservice-9bfb7bf5-9mdwz,2,122
16:58:26,9,productcatalogservice-65bbf699df-d9cxl,11,42
16:58:26,9,recommendationservice-7444754ff5-kk4vc,18,80
16:58:26,9,redis-cart-c8ff86559-gpcc7,3,36
16:58:26,9,shippingservice-f956b6d9f-ml5cg,2,30
16:58:37,10,adservice-574bff445c-k5l76,9,289
16:58:37,10,cartservice-db96d6fcc-tsdhc,12,139
16:58:37,10,checkoutservice-5b6d96c9b7-fwtng,2,36
16:58:37,10,currencyservice-7c8fc8fc9c-rtbz4,23,113
16:58:37,10,emailservice-66944ff59-zvg4w,4,56
16:58:37,10,frontend-7bd6f45654-dnhzb,26,42
16:58:37,10,paymentservice-9bfb7bf5-9mdwz,3,122
16:58:37,10,productcatalogservice-65bbf699df-d9cxl,11,42
16:58:37,10,recommendationservice-7444754ff5-kk4vc,19,80
16:58:37,10,redis-cart-c8ff86559-gpcc7,3,36
16:58:37,10,shippingservice-f956b6d9f-ml5cg,2,30
16:58:47,11,adservice-574bff445c-k5l76,11,288
16:58:47,11,cartservice-db96d6fcc-tsdhc,13,139
16:58:47,11,checkoutservice-5b6d96c9b7-fwtng,1,36
16:58:47,11,currencyservice-7c8fc8fc9c-rtbz4,26,113
16:58:47,11,emailservice-66944ff59-zvg4w,4,56
16:58:47,11,frontend-7bd6f45654-dnhzb,32,42
16:58:47,11,paymentservice-9bfb7bf5-9mdwz,2,122
16:58:47,11,productcatalogservice-65bbf699df-d9cxl,13,42
16:58:47,11,recommendationservice-7444754ff5-kk4vc,20,80
16:58:47,11,redis-cart-c8ff86559-gpcc7,4,36
16:58:47,11,shippingservice-f956b6d9f-ml5cg,2,30
16:58:57,12,adservice-574bff445c-k5l76,11,288
16:58:57,12,cartservice-db96d6fcc-tsdhc,13,139
16:58:57,12,checkoutservice-5b6d96c9b7-fwtng,1,36
16:58:57,12,currencyservice-7c8fc8fc9c-rtbz4,26,113
16:58:57,12,emailservice-66944ff59-zvg4w,4,56
16:58:57,12,frontend-7bd6f45654-dnhzb,32,42
16:58:57,12,paymentservice-9bfb7bf5-9mdwz,2,122
16:58:57,12,productcatalogservice-65bbf699df-d9cxl,13,42
16:58:57,12,recommendationservice-7444754ff5-kk4vc,20,80
16:58:57,12,redis-cart-c8ff86559-gpcc7,4,36
16:58:57,12,shippingservice-f956b6d9f-ml5cg,2,30
16:59:07,13,adservice-574bff445c-k5l76,17,288
16:59:07,13,cartservice-db96d6fcc-tsdhc,12,139
16:59:07,13,checkoutservice-5b6d96c9b7-fwtng,2,36
16:59:07,13,currencyservice-7c8fc8fc9c-rtbz4,26,113
16:59:07,13,emailservice-66944ff59-zvg4w,5,56
16:59:07,13,frontend-7bd6f45654-dnhzb,31,42
16:59:07,13,paymentservice-9bfb7bf5-9mdwz,2,122
16:59:07,13,productcatalogservice-65bbf699df-d9cxl,14,42
16:59:07,13,recommendationservice-7444754ff5-kk4vc,21,80
16:59:07,13,redis-cart-c8ff86559-gpcc7,4,36
16:59:07,13,shippingservice-f956b6d9f-ml5cg,2,30
16:59:17,14,adservice-574bff445c-k5l76,13,288
16:59:17,14,cartservice-db96d6fcc-tsdhc,14,139
16:59:17,14,checkoutservice-5b6d96c9b7-fwtng,2,36
16:59:17,14,currencyservice-7c8fc8fc9c-rtbz4,24,113
16:59:17,14,emailservice-66944ff59-zvg4w,4,56
16:59:17,14,frontend-7bd6f45654-dnhzb,27,42
16:59:17,14,paymentservice-9bfb7bf5-9mdwz,2,122
16:59:17,14,productcatalogservice-65bbf699df-d9cxl,12,42
16:59:17,14,recommendationservice-7444754ff5-kk4vc,19,80
16:59:17,14,redis-cart-c8ff86559-gpcc7,3,36
16:59:17,14,shippingservice-f956b6d9f-ml5cg,2,30
