users,p50,p90,p99,fails,failpct,rps,estado
25,12,19,45,0,0.0,89.1417273649029,OK
50,15,50,140,0,0.0,116.59230714690973,OK
75,53,150,540,0,0.0,184.2662543147558,Aviso
100,97,240,500,0,0.0,201.6801101003632,Aviso
125,150,340,720,0,0.0,201.84079727765402,Aviso
150,160,380,660,0,0.0,218.6577975582358,Aviso
