Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,688,0,280.0,274.6698384171509,13.447165999998845,1187.745083000003,10552.725290697674,5.765443349955409,0.0,280,340,380,400,460,520,570,610,1200,1200,1200
GET,/cart,3116,0,150.0,165.1757613363283,7.105209000002333,1207.8238750000025,13962.851732991014,26.112095172181764,0.0,150,190,230,250,310,380,490,650,1000,1200,1200
POST,/cart [add],3992,0,210.0,224.34245403256568,10.438875000001957,1709.1777079999986,18168.211923847695,33.452979437531965,0.0,210,270,300,330,400,480,690,890,1300,1700,1700
POST,/cart/checkout,1474,0,170.0,179.37784954341876,11.351541999999881,1226.3187500000045,6806.006105834464,12.352127177084698,0.0,170,200,210,240,300,400,700,890,1100,1200,1200
GET,/product/[id],12382,0,120.0,127.11316662477753,6.713708999996015,1224.043624999993,7981.887821030528,103.76122028945912,0.0,120,150,170,190,230,270,350,620,1100,1200,1200
POST,/setCurrency,2434,0,300.0,287.94872396507776,14.306624999999684,1319.1205000000039,10557.791700903861,20.39693185144108,0.0,300,350,390,410,480,550,610,700,1200,1300,1300
,Aggregated,24086,0,150.0,171.81852408697955,6.713708999996015,1709.1777079999986,10705.699410445903,201.84079727765402,0.0,150,190,230,260,340,430,560,720,1100,1300,1700
