users,p50,p90,p99,fails,failpct,rps,estado
100,180,350,660,0,0.0,164.17213674830012,Aviso
200,300,650,1100,626,2.8,184.24559473185025,Aviso
300,360,730,1100,87,0.4,173.6988963300952,Aviso
400,340,690,1200,361,1.7,178.56560265732983,Aviso
